"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOVVYHMKKRCDEHPJB00811488";3;2023;29;1;90;880000;125714,29;1;655;3;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;3;4;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;1;0;96;0;0;0;590
"TQRMNORRPHLMKNCDEHPJB00806593";3;2023;29;1;90;196000;49000;1;411;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;4;0;4;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;98;0;0;0;326
"TQRMNOPXXHLMKNCDEHPJB00806553";3;2023;29;1;90;75000;75000;1;323;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;274
"TQRMNORQWHLMKNCDEHPJB00806526";3;2023;29;1;90;144000;144000;1;399;4;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;1;2;2;1;0;1;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;360
"TQRMNORQXHLMKNCDEHPJB00806569";3;2023;29;1;90;101000;33666,67;1;428;4;1;2;0;1;1;2;2;0;2;0;6;"";1;"";1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;3;2;1;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;403
"TQRMNOPXWHLMKNCDEHPJB00806506";3;2023;29;1;90;98000;24500;1;390;3;3;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;343
"TQRMNORQYHLMKNCDEHPJB00806501";3;2023;29;1;90;202000;40400;1;469;4;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;3;4;5;0;418
"TQRMNOPXVHLMKNCDEHPJB00806485";3;2023;29;1;90;304000;152000;1;384;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;"";3;1;"";2;1;1;1;"";1;1;1;1;1;2;2;1;0;2;0;0;0;331
"TQRMNOPXUHLMKNCDEHPJB00806472";3;2023;29;1;90;50000;50000;1;316;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;2;2;1;0;1;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;274
"TQRMNOPXTHLMKNCDEHPJB00806470";3;2023;29;1;90;530000;88333,33;1;459;4;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;6;0;6;2;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;4;6;0;0;340
